08:47:07,Working,runing...
08:47:08,Working,runing...
08:47:09,Working,runing...
08:47:10,Working,runing...
08:47:11,Working,runing...
08:47:12,Working,runing...
08:47:13,Working,runing...
08:47:14,Working,runing...
08:47:15,Working,runing...
08:47:16,Working,runing...
08:47:17,Working,runing...
08:47:18,Working,runing...
08:47:19,Working,runing...
08:47:20,Working,runing...
08:47:21,Working,runing...
08:47:22,Working,runing...
08:47:23,Working,runing...
08:47:24,Working,runing...
08:47:25,Working,runing...
08:47:26,Working,runing...
08:47:27,Working,runing...
08:47:28,Working,runing...
08:47:29,Working,runing...
08:47:30,Working,runing...
08:47:31,Working,runing...
08:47:32,Working,runing...
08:47:33,Working,runing...
08:47:34,Working,runing...
08:47:35,Working,runing...
08:47:36,Working,runing...
08:47:37,Working,runing...
08:47:38,Working,runing...
08:47:39,Working,runing...
08:47:40,Working,runing...
08:47:41,Working,runing...
08:47:42,Working,runing...
08:47:43,Working,runing...
08:47:44,Working,runing...
08:47:45,Working,runing...
08:47:46,Working,runing...
08:47:47,Working,runing...
08:47:48,Working,runing...
08:47:49,Working,runing...
08:47:50,Working,runing...
08:47:51,Working,runing...
08:47:52,Working,runing...
08:47:53,Working,runing...
08:47:54,Working,runing...
08:47:55,Working,runing...
08:47:56,Working,runing...
08:47:57,Working,runing...
08:47:58,Working,runing...
08:47:59,Working,runing...
08:48:00,Working,runing...
08:48:01,Working,runing...
08:48:02,Working,runing...
08:48:03,Working,runing...
08:48:04,Working,runing...
08:48:05,Working,runing...
08:48:06,Working,runing...
08:48:07,Working,runing...
08:48:08,Working,runing...
08:48:10,Working,runing...
08:48:11,Working,runing...
08:48:12,Working,runing...
08:48:13,Working,runing...
08:48:14,Working,runing...
08:48:15,Working,runing...
08:48:16,Working,runing...
08:48:17,Working,runing...
08:48:18,Working,runing...
08:48:19,Working,runing...
08:48:20,Working,runing...
08:48:21,Working,runing...
08:48:22,Working,runing...
08:48:23,Working,runing...
08:48:24,Working,runing...
08:48:25,Working,runing...
